target,split,logloss,method,tau,power,max_days,shrink
Q1,interleaved_offset1,0.6841394790475199,exp,28.0,1.0,35.0,0.0
Q1,interleaved_offset2,0.7074374919379037,exp,28.0,1.0,35.0,0.0
Q1,late7,0.9399606134625089,exp,28.0,1.0,35.0,0.0
Q1,interleaved_offset1,0.6841457929394058,exp,28.0,1.0,35.0,0.03
Q1,interleaved_offset2,0.6670725918768527,exp,28.0,1.0,35.0,0.03
Q1,late7,0.8096240163307782,exp,28.0,1.0,35.0,0.03
Q1,interleaved_offset1,0.6841919732280287,exp,28.0,1.0,35.0,0.07
Q1,interleaved_offset2,0.6612465768452167,exp,28.0,1.0,35.0,0.07
Q1,late7,0.7898031917892978,exp,28.0,1.0,35.0,0.07
Q1,interleaved_offset1,0.6843093889131924,exp,28.0,1.0,35.0,0.12
Q1,interleaved_offset2,0.6578039340841335,exp,28.0,1.0,35.0,0.12
Q1,late7,0.7761875911357801,exp,28.0,1.0,35.0,0.12
Q1,interleaved_offset1,0.6839877142140056,exp,28.0,1.0,56.0,0.0
Q1,interleaved_offset2,0.6558184494307832,exp,28.0,1.0,56.0,0.0
Q1,late7,0.746010967492488,exp,28.0,1.0,56.0,0.0
Q1,interleaved_offset1,0.6841945729117883,exp,28.0,1.0,56.0,0.03
Q1,interleaved_offset2,0.6554366860344019,exp,28.0,1.0,56.0,0.03
Q1,late7,0.7444156852268381,exp,28.0,1.0,56.0,0.03
Q1,interleaved_offset1,0.6844863058819652,exp,28.0,1.0,56.0,0.07
Q1,interleaved_offset2,0.6550166382057172,exp,28.0,1.0,56.0,0.07
Q1,late7,0.7423559265501293,exp,28.0,1.0,56.0,0.07
Q1,interleaved_offset1,0.6848765498998739,exp,28.0,1.0,56.0,0.12
Q1,interleaved_offset2,0.6546121997127486,exp,28.0,1.0,56.0,0.12
Q1,late7,0.7398808009040077,exp,28.0,1.0,56.0,0.12
Q1,interleaved_offset1,0.6824402727741822,exp,28.0,1.0,,0.0
Q1,interleaved_offset2,0.6506858820925756,exp,28.0,1.0,,0.0
Q1,late7,0.7298914007440183,exp,28.0,1.0,,0.0
Q1,interleaved_offset1,0.6827108785876717,exp,28.0,1.0,,0.03
Q1,interleaved_offset2,0.6506801595265255,exp,28.0,1.0,,0.03
Q1,late7,0.7289736614738237,exp,28.0,1.0,,0.03
Q1,interleaved_offset1,0.6830858754118428,exp,28.0,1.0,,0.07
Q1,interleaved_offset2,0.6507036609305935,exp,28.0,1.0,,0.07
Q1,late7,0.7277842698259618,exp,28.0,1.0,,0.07
Q1,interleaved_offset1,0.6835774358044412,exp,28.0,1.0,,0.12
Q1,interleaved_offset2,0.6507801308886368,exp,28.0,1.0,,0.12
Q1,late7,0.7263496310626648,exp,28.0,1.0,,0.12
Q1,interleaved_offset1,0.757896945351466,gaussian,5.0,1.0,14.0,0.0
